variable,mu_c,CI_c_lower,CI_c_upper
alpha,0.995,0.995,0.995
0,34059.31305484161,33525.77147437357,34592.854635309646
1,34060.6895109562,33551.785914369335,34569.59310754307
2,34069.688321872505,33549.282985626596,34590.093658118414
3,34034.46976043447,33522.77185425073,34546.16766661821
4,34039.61929524352,33531.315228652784,34547.92336183426
5,34027.88709491884,33526.03685634516,34529.73733349252
6,34068.37206914715,33577.45748985564,34559.28664843867
7,34042.85093990308,33551.44845586563,34534.25342394054
8,34016.70652572752,33526.17441327935,34507.2386381757
9,34017.93720006761,33533.3209195065,34502.5534806287
10,34019.023463642414,33539.21740698039,34498.82952030444
11,34023.09702560222,33579.82008558131,34466.37396562314
12,34025.387211093046,33592.12693353463,34458.64748865148
13,33972.14184363488,33536.488328230196,34407.79535903957
14,33936.584284364995,33520.324838538734,34352.843730191256
15,33920.699984528954,33501.49327146052,34339.90669759739
16,33867.596992644554,33417.51231741085,34317.681667878256
17,33862.83212486313,33399.64803138821,34326.01621833804
18,33841.695475269524,33372.74616559375,34310.644784945296
19,33852.08260399609,33371.03868757743,34333.126520414764
20,33869.66218675318,33375.50799953918,34363.816373967195
21,33898.85718402109,33401.06672250216,34396.647645540026
22,33895.04219696855,33400.49237173099,34389.592022206096
23,33928.9149311906,33427.57333504319,34430.256527337995
24,33916.30203180896,33398.944116607025,34433.6599470109
25,33913.127918942584,33394.43949047669,34431.816347408494
26,33895.59395023459,33370.7293357972,34420.45856467197
27,33912.15320346642,33392.101914581755,34432.2044923511
28,33891.93828595979,33380.028743993455,34403.84782792611
29,33925.8269538082,33432.430017820814,34419.223889795576
30,33918.04512079587,33444.66173444218,34391.428507149554
31,33895.546271478146,33391.810889076994,34399.2816538793
32,33919.12506466241,33422.28763706524,34415.96249225957
33,33928.0589368448,33400.58821479575,34455.52965889384
34,33942.63598509018,33375.46378713796,34509.8081830424
35,33915.24506663289,33353.249145981055,34477.24098728472
36,33916.18840521488,33337.629591462886,34494.74721896688
37,33867.86900736391,33262.87340922512,34472.86460550271
38,33848.25531123913,33239.71295140278,34456.79767107549
39,33897.18902299276,33294.55632083198,34499.821725153524
40,33910.4608885579,33303.600888870504,34517.3208882453
41,33955.90295091122,33344.95323368519,34566.85266813724
42,33970.856000578744,33356.48877990834,34585.22322124915
43,33977.97748381347,33353.304266358195,34602.65070126873
44,33973.93524126295,33357.82578174084,34590.04470078507
45,33999.649325119804,33363.34720340076,34635.951446838866
46,34082.23195454668,33452.79626865422,34711.667640439126
47,34095.659576367616,33468.582189117486,34722.73696361775
48,34078.95848355833,33412.36592553893,34745.55104157773
