variable,mu_c,CI_c_lower,CI_c_upper
alpha,0.01,0.01,0.01
0,34359.24748623234,34035.69878779454,34682.796184670144
1,34337.937566653956,34024.17616056428,34651.69897274363
2,34379.33318982522,34061.40045457557,34697.26592507488
3,34386.67856303744,34068.94934834182,34704.40777773307
4,34400.383347793,34068.76037390248,34732.006321683526
5,34388.52081827672,34039.54363565608,34737.49800089735
6,34392.18525785712,34049.606910527444,34734.763605186796
7,34347.097657544844,34006.14894418861,34688.04637090108
8,34389.732677395936,34013.688329946905,34765.77702484497
9,34447.56496349637,34066.953897077685,34828.17602991504
10,34384.12966205255,33994.17749691827,34774.081827186834
11,34301.72008355573,33919.01123138723,34684.42893572423
12,34289.66364900305,33879.88268114676,34699.44461685934
13,34311.62110702143,33920.863499126455,34702.3787149164
14,34293.859244717634,33918.99830584301,34668.72018359226
15,34320.13453363337,33951.370983108776,34688.898084157976
16,34328.739277131084,33951.480535345814,34705.99801891634
17,34311.02162233672,33923.788780924864,34698.25446374857
18,34296.302242807775,33910.18695016945,34682.4175354461
19,34288.30541288774,33910.193847730974,34666.41697804451
20,34330.65635411477,33948.22009073171,34713.092617497845
21,34352.448132613936,33955.98724392201,34748.90902130586
22,34313.06012669564,33907.898262602386,34718.22199078889
23,34308.897020074095,33914.584010790655,34703.210029357535
24,34260.77890383518,33860.295045069455,34661.2627626009
25,34278.782161218696,33871.6962480032,34685.86807443419
26,34251.99215206201,33835.91988565273,34668.064418471295
27,34283.69206503594,33868.08227341751,34699.30185665434
28,34267.19862281153,33858.41097789421,34675.98626772885
29,34260.68241770696,33861.674659938755,34659.690175475145
30,34244.579802560125,33835.177187927,34653.98241719325
31,34190.61694965543,33812.69423270956,34568.53966660128
32,34255.322497770416,33871.49476083236,34639.150234708475
33,34250.532958623924,33867.85990741373,34633.20600983412
34,34271.322453830675,33888.03343910074,34654.61146856059
35,34247.879584718146,33860.48703744264,34635.27213199364
36,34186.96104497431,33802.95684023343,34570.96524971519
37,34224.611970864855,33829.33225272523,34619.89168900449
38,34214.63793638913,33818.20486752268,34611.07100525558
39,34172.1717084754,33778.090740900516,34566.252676050266
40,34168.33005310519,33787.01774626135,34549.64235994904
41,34140.89985754329,33757.99264847426,34523.80706661234
42,34137.929772388816,33757.03815705735,34518.82138772028
43,34168.57084278688,33793.78354322876,34543.35814234503
44,34163.74758845267,33780.266871989916,34547.22830491544
45,34189.85380890424,33807.86155761316,34571.84606019532
46,34179.638330159585,33822.822734804846,34536.45392551434
47,34191.80509446897,33845.01060404362,34538.59958489433
48,34154.90332069236,33797.86489977722,34511.94174160751
49,34161.19864199332,33784.29679376824,34538.10049021839
50,34154.61218407429,33772.4374380691,34536.7869300795
51,34194.58440899729,33809.15498655883,34580.01383143573
52,34146.66104891681,33754.91562163616,34538.40647619746
53,34155.10617875731,33765.61916787086,34544.59318964377
54,34148.39802105337,33745.11692537698,34551.67911672976
55,34176.780052169765,33764.78718635952,34588.77291797999
56,34127.193368880115,33734.351348336306,34520.03538942391
57,34118.60707378222,33707.7750402882,34529.43910727623
58,34175.17858040788,33787.131749418375,34563.22541139739
59,34168.2765307067,33769.149491063516,34567.40357034989
60,34156.01622841552,33738.064367039566,34573.96808979145
61,34127.30670889232,33734.25727931363,34520.35613847103
62,34102.219337294504,33703.36662907304,34501.07204551597
63,34063.33770816211,33641.68342078435,34484.991995539865
64,34017.284153527966,33584.64851546639,34449.91979158953
65,34025.29940223768,33582.75548525174,34467.843319223604
66,34003.69895666457,33551.78878138628,34455.609131942874
