variable,mu_c,CI_c_lower,CI_c_upper
alpha,0.01,0.01,0.01
0,34904.24688098317,34419.051554915655,35389.4422070507
1,34827.1500297936,34317.421587037985,35336.878472549215
2,34852.8923876193,34342.97398044763,35362.810794790974
3,34796.891783683524,34241.94694500075,35351.83662236631
4,34810.409384076396,34275.8929106354,35344.925857517395
5,34797.49932654996,34260.34550911711,35334.6531439828
6,34838.138077872354,34303.83693139342,35372.439224351285
7,34823.98990660031,34308.40879266709,35339.571020533534
8,34759.922261610205,34225.8741816187,35293.97034160171
9,34838.92357706677,34289.3084786662,35388.538675467345
10,34861.15686136252,34291.55105929044,35430.7626634346
11,34865.5410940478,34309.48909682026,35421.59309127535
12,34870.61613927801,34249.61285432104,35491.61942423498
13,34852.368874756125,34298.985679563266,35405.75206994898
14,34835.60092192802,34236.14618715229,35435.05565670373
15,34823.33151548606,34242.0827936255,35404.58023734662
16,34821.1848229806,34232.188933948324,35410.18071201287
17,34888.22258010522,34299.819178915866,35476.62598129456
18,34896.07375385444,34278.0747321032,35514.072775605666
19,34857.58119529954,34177.593419001285,35537.5689715978
20,34818.285609156934,34188.87284373324,35447.698374580614
21,34862.269170228734,34271.21242335357,35453.325917103895
22,34875.53112472589,34270.807986740816,35480.25426271097
23,34805.41016898539,34198.22236836195,35412.59796960882
24,34758.51868314457,34143.964635288496,35373.07273100064
25,34758.638546784714,34156.324559521374,35360.952534048054
26,34744.99940521373,34161.422923938044,35328.57588648942
27,34761.12735654944,34159.56928544254,35362.68542765634
28,34727.863962135954,34176.66637079221,35279.06155347968
29,34722.19640851273,34158.93637747635,35285.4564395491
30,34720.74380845956,34167.808878784126,35273.678738135
31,34690.39466292282,34148.70655203498,35232.08277381067
32,34695.525150368194,34158.23554644926,35232.81475428713
33,34690.64628282929,34105.93919311865,35275.353372539954
34,34634.791486169175,34128.41103430974,35141.171938028594
35,34596.32380754484,34119.15679350539,35073.49082158429
36,34567.450626174825,34061.96662170336,35072.93463064629
37,34566.94091481503,34063.79878472693,35070.08304490313
38,34579.40364146664,34105.519137643445,35053.28814528985
39,34565.5406600614,34092.60948360148,35038.47183652132
40,34558.08573752044,34150.51714191848,34965.65433312241
41,34577.44195010982,34186.3512278304,34968.53267238925
42,34618.593205915415,34221.545836911166,35015.64057491968
43,34566.62166959782,34178.8456516969,34954.39768749873
44,34560.55671435871,34114.91867111233,35006.19475760509
45,34547.78737010709,34111.97580251455,34983.59893769962
46,34530.860535256834,34098.948438511674,34962.77263200198
47,34533.50094393445,34105.704672476146,34961.29721539277
48,34529.96527720649,34107.22019023399,34952.71036417899
49,34535.55439298121,34086.4040868146,34984.70469914783
50,34508.09095496028,34058.36912909471,34957.81278082585
51,34499.42164814426,34079.64452968552,34919.198766603
52,34510.388439822935,34078.47762877701,34942.29925086885
53,34568.8742167432,34130.392591532654,35007.35584195373
54,34526.335423314114,34100.180489331935,34952.490357296294
55,34498.401400278155,34101.26233650062,34895.5404640557
56,34472.68912390247,34063.63454068127,34881.74370712367
57,34430.498098910764,34002.13106681988,34858.86513100165
58,34419.383520788964,34021.67518305549,34817.091858522435
59,34428.06896912688,34047.13431453388,34809.00362371987
60,34357.44657488624,33982.57556256226,34732.31758721022
61,34381.04370709213,33988.56520854105,34773.52220564322
62,34393.478592378975,34005.26427240502,34781.69291235293
63,34334.80974176562,33947.93399452682,34721.68548900443
64,34283.87006249681,33886.67011926748,34681.07000572614
65,34283.51606866637,33879.75079991704,34687.281337415705
66,34324.401356981674,33869.41288251134,34779.38983145201
67,34348.82157351145,33863.24167322562,34834.40147379728
68,34318.5303447887,33849.0405776267,34788.0201119507
69,34287.70707369509,33797.641390460616,34777.77275692958
70,34253.51803019604,33756.19121495972,34750.844845432366
71,34296.56108176903,33787.784583208246,34805.33758032982
72,34316.92639183122,33823.1609173688,34810.691866293644
73,34312.48771861304,33755.26256562213,34869.71287160395
74,34324.937364512916,33751.00082178255,34898.873907243295
75,34292.337261087814,33695.01264784129,34889.661874334335
76,34258.67037862281,33710.83741823526,34806.50333901037
77,34275.61018901935,33744.98317589341,34806.2372021453
78,34304.023029243486,33732.50387277821,34875.542185708764
79,34298.648534465196,33757.637020917406,34839.660048013
80,34323.91984370061,33775.542637158855,34872.29705024237
81,34323.78486765028,33767.69378803543,34879.87594726515
82,34305.46778509465,33752.116304111754,34858.81926607754
83,34292.45014788535,33770.471448388154,34814.42884738253
84,34231.708675693415,33699.806010876215,34763.611340510615
85,34225.75254740854,33698.32226437677,34753.18283044031
86,34238.115908263804,33673.20543334653,34803.02638318108
87,34241.79361351916,33669.05746849926,34814.529758539065
88,34261.08597011969,33727.00917115902,34795.16276908036
89,34338.58706883118,33777.44665268159,34899.72748498075
90,34324.474547164005,33758.1094835856,34890.83961074241
91,34303.940808596395,33756.79868164166,34851.08293555113
92,34290.42693415699,33742.75319891227,34838.100669401705
93,34284.68272892017,33726.004506661644,34843.36095117869
94,34331.57605568342,33768.58504117138,34894.567070195444
95,34356.19381491662,33804.423555113084,34907.96407472016
96,34350.03577672139,33802.020188333816,34898.05136510897
97,34321.34824361243,33814.56300542563,34828.13348179923
98,34283.23003472595,33794.87183123405,34771.58823821787
99,34296.69590641731,33820.231724543024,34773.1600882916
100,34307.984177204264,33840.72750001718,34775.24085439133
101,34298.79235957715,33845.021572285776,34752.563146868524
102,34274.16438003617,33860.26011217424,34688.0686478981
103,34203.82993188674,33796.41746775421,34611.24239601929
104,34152.50962426094,33715.29118026708,34589.72806825481
105,34185.12862464173,33761.207002560004,34609.050246723455
106,34175.87710150892,33765.085890890354,34586.668312127505
107,34184.77829563356,33762.91244966744,34606.644141599674
108,34192.27951213709,33764.02359494344,34620.53542933075
109,34255.91648962879,33834.904674105914,34676.92830515168
110,34267.50269131566,33824.03526218249,34710.970120448816
111,34289.51616294792,33845.87673296658,34733.15559292926
112,34286.61906311806,33863.17235741383,34710.06576882227
113,34270.43664038557,33844.581235079095,34696.29204569204
114,34299.718088128975,33846.22229047143,34753.21388578652
115,34160.05601924834,33688.46127907365,34631.65075942304
116,34214.82509958637,33721.87006727312,34707.780131899606
117,34129.08187624281,33589.049800813074,34669.113951672545
118,34125.04033138729,33593.46770722847,34656.612955546094
119,34107.98850243639,33547.01163789228,34668.9653669805
120,34054.30265496546,33442.62365320344,34665.98165672748
121,34096.39106552591,33508.74746278653,34684.0346682653
122,34104.61295325048,33524.458578410704,34684.76732809027
123,34169.66938421571,33591.30600941243,34748.03275901898
124,34176.887285418896,33622.777252875894,34730.9973179619
125,34140.2317034253,33605.99636009215,34674.46704675844
126,34141.51057537864,33607.25134503769,34675.769805719596
127,34166.33996300161,33626.31814381303,34706.361782190186
128,34159.22137790441,33610.08979749434,34708.352958314485
129,34145.250948104076,33604.38277281282,34686.11912339533
130,34090.934645797024,33547.840478064725,34634.02881352934
131,34103.25025917033,33581.42551290623,34625.07500543443
132,34126.34145729986,33590.26568696761,34662.41722763211
133,34139.018415741135,33603.68463796198,34674.35219352029
134,34152.99320103346,33640.14763503233,34665.83876703459
135,34125.03576332941,33594.58940740087,34655.482119257955
136,34182.95056486367,33666.97328102723,34698.92784870011
137,34155.03936968221,33587.77675039862,34722.30198896581
138,34147.876553847695,33570.277297087196,34725.47581060819
139,34136.683253322844,33589.252394324256,34684.11411232142
140,34133.162147356365,33546.44113539072,34719.88315932201
141,34125.33293994455,33541.20158440888,34709.46429548022
142,34116.56727292795,33508.82000659967,34724.31453925622
143,34056.26531864141,33434.607705065304,34677.9229322175
144,34062.53709896762,33427.412882256336,34697.66131567891
145,34058.04464182883,33432.8756312835,34683.213652374136
146,34042.9295796775,33416.23797511911,34669.62118423588
147,34014.74385055671,33373.43463668613,34656.053064427295
148,34008.76360830725,33372.333235969614,34645.193980644886
149,33958.71511940501,33315.04802873027,34602.38221007975
150,33954.78113760854,33363.52399208138,34546.038283135684
151,33912.185274243,33344.95381427454,34479.41673421146
152,33937.571129091135,33356.5496185893,34518.59263959297
